well,strain,drug,conc,name
A01,,DMSO,0.5%,DMSO
B01,,DMSO,0.5%,DMSO
C01,,DMSO,0.5%,DMSO
D01,,DMSO,0.5%,DMSO
E01,,DMSO,0.5%,DMSO
F01,,DMSO,0.5%,DMSO
G01,,DMSO,0.5%,DMSO
H01,,DMSO,0.5%,DMSO
A02,,HY-10274,10mM  * 10uL,Dabigatran etexilate
B02,,HY-B0965A,10mM  * 10uL,Thioridazine
C02,,HY-N2319,10mM  * 10uL,Dihydroergocristine (mesylate)
D02,,HY-14188,10mM  * 10uL,Amiodarone (hydrochloride)
E02,,HY-B0758,10mM  * 10uL,Troxipide
F02,,HY-90009A,10mM  * 10uL,Tadalafil
G02,,HY-B0020,10mM  * 10uL,Tropisetron (Hydrochloride)
H02,,HY-32329,10mM  * 10uL,Setiptiline
A03,,HY-50898A,10mM  * 10uL,Lapatinib (ditosylate)
B03,,HY-10121,10mM  * 10uL,Asenapine
C03,,HY-B0506,10mM  * 10uL,Nadifloxacin
D03,,HY-B0404A,10mM  * 10uL,Benserazide (hydrochloride)
E03,,HY-B1451,10mM  * 10uL,Imidapril (hydrochloride)
F03,,HY-B0563B,10mM  * 10uL,Ropivacaine (hydrochloride)
G03,,HY-B0901,10mM  * 10uL,Bromperidol
H03,,HY-B0614A,10mM  * 10uL,Mafenide (Acetate)
A04,,HY-B0110,10mM  * 10uL,Gestodene
B04,,HY-17356,10mM  * 10uL,Fenofibrate
C04,,HY-B0637,10mM  * 10uL,Bezafibrate
D04,,HY-101561,10mM  * 10uL,Avapritinib
E04,,HY-B0380,10mM  * 10uL,Trimebutine
F04,,HY-B1550,10mM  * 10uL,Benzoin
G04,,HY-B1062,10mM  * 10uL,Dexchlorpheniramine (maleate)
H04,,HY-13218,10mM  * 10uL,Acitazanolast
A05,,HY-10446,10mM  * 10uL,Pralatrexate
B05,,HY-15414,10mM  * 10uL,Vortioxetine
C05,,HY-B1303A,10mM  * 10uL,Mebhydrolin
D05,,HY-17623,10mM  * 10uL,Tegoprazan
E05,,HY-13998,10mM  * 10uL,Dasabuvir
F05,,HY-17399,10mM  * 10uL,Racecadotril
G05,,HY-16985,10mM  * 10uL,Darolutamide
H05,,HY-13511,10mM  * 10uL,Rupatadine
A06,,HY-B0295,10mM  * 10uL,Chloroxine
B06,,HY-G0018,10mM  * 10uL,Norgestimate metabolite Norelgestromin
C06,,HY-B2145,10mM  * 10uL,Ilaprazole (sodium)
D06,,HY-10373,10mM  * 10uL,Trimetrexate
E06,,HY-12642A,10mM  * 10uL,Diethylcarbamazine
F06,,HY-B0534,10mM  * 10uL,Moclobemide
G06,,HY-W015883,10mM  * 10uL,Fumaric acid
H06,,HY-10980,10mM  * 10uL,Tavaborole
A07,,HY-A0034,10mM  * 10uL,Solifenacin
B07,,HY-B1834,10mM  * 10uL,Megestrol
C07,,HY-B1165,10mM  * 10uL,Cyproheptadine (hydrochloride sesquihydrate)
D07,,HY-14300,10mM  * 10uL,Vilanterol
E07,,HY-17009,10mM  * 10uL,Iguratimod
F07,,HY-B0357,10mM  * 10uL,Diclazuril
G07,,HY-17427,10mM  * 10uL,Emtricitabine
H07,,HY-16568,10mM  * 10uL,Irinotecan (hydrochloride trihydrate)
A08,,HY-B1065,10mM  * 10uL,Aceglutamide
B08,,HY-B0117C,10mM  * 10uL,Tigecycline (tetramesylate)
C08,,HY-B0578A,10mM  * 10uL,Loxoprofen (sodium)
D08,,HY-13680,10mM  * 10uL,Meisoindigo
E08,,HY-B0457A,10mM  * 10uL,Clomipramine
F08,,HY-B1413,10mM  * 10uL,Eprobemide
G08,,HY-N0504,10mM  * 10uL,Lovastatin
H08,,HY-17443,10mM  * 10uL,Sivelestat
A09,,HY-A0067,10mM  * 10uL,Oxybenzone
B09,,HY-14648,10mM  * 10uL,Dexamethasone
C09,,HY-17042,10mM  * 10uL,Cetirizine
D09,,HY-17497A,10mM  * 10uL,Acebutolol (hydrochloride)
