well,strain,drug,conc,name
E09,,HY-W392925,10mM  * 10uL,(R)-(+)-Aminoglutethimide
F09,,HY-13613,10mM  * 10uL,Dutasteride
G09,,HY-B0281A,10mM  * 10uL,Ranitidine (hydrochloride)
H09,,HY-107203,10mM  * 10uL,Propentofylline
A10,,HY-17381,10mM  * 10uL,Idarubicin (hydrochloride)
B10,,HY-131328,10mM  * 10uL,Pirtobrutinib
C10,,HY-B0551,10mM  * 10uL,Doxapram
D10,,HY-107329,10mM  * 10uL,Cefathiamidine
E10,,HY-120824,10mM  * 10uL,Mofezolac
F10,,HY-P1959,10mM  * 10uL,Lanreotide
G10,,HY-B1272,10mM  * 10uL,Desipramine (hydrochloride)
H10,,HY-12424,10mM  * 10uL,Zotarolimus
A11,,HY-10162,10mM  * 10uL,Olaparib
B11,,HY-50667,10mM  * 10uL,Apixaban
C11,,HY-13315A,10mM  * 10uL,Montelukast
D11,,HY-B0122,10mM  * 10uL,Topiramate
E11,,HY-13324,10mM  * 10uL,Bardoxolone methyl
F11,,HY-B0330,10mM  * 10uL,Levofloxacin
G11,,HY-B0105B,10mM  * 10uL,(-)-Ketoconazole
H11,,HY-B1449,10mM  * 10uL,Uridine
A12,,HY-B0256,10mM  * 10uL,Azathioprine
B12,,HY-15232A,10mM  * 10uL,Tenofovir alafenamide fumarate
C12,,HY-14773,10mM  * 10uL,Mirabegron
D12,,HY-B0419,10mM  * 10uL,Manidipine
E12,,HY-B1212,10mM  * 10uL,Broxyquinoline
F12,,HY-B0240,10mM  * 10uL,Disulfiram
G12,,HY-17016,10mM  * 10uL,Oseltamivir (phosphate)
H12,,HY-135853,10mM  * 10uL,Molnupiravir
