well,strain,drug,conc,name
D09,,HY-10466,10mM  * 10uL,Daclatasvir
E09,,HY-B1259,10mM  * 10uL,6-Acetamidohexanoic acid
F09,,HY-10260,10mM  * 10uL,Vandetanib
G09,,HY-10261A,10mM  * 10uL,Afatinib (dimaleate)
H09,,HY-B1222A,10mM  * 10uL,Sisomicin
A10,,HY-13715A,10mM  * 10uL,Norepinephrine (hydrochloride)
B10,,HY-17416,10mM  * 10uL,Guanfacine (hydrochloride)
C10,,HY-W018326,10mM  * 10uL,Temozolomide acid
D10,,HY-B2111,10mM  * 10uL,(R)-(+)-Atenolol
E10,,HY-119824,10mM  * 10uL,Trofosfamide
F10,,HY-N0565A,10mM  * 10uL,Doxycycline (hydrochloride)
G10,,HY-109025,10mM  * 10uL,Baloxavir marboxil
H10,,HY-B0117,10mM  * 10uL,Tigecycline
A11,,HY-B0581,10mM  * 10uL,Dexrazoxane
B11,,HY-N7065,10mM  * 10uL,Dihydralazine (sulfate)
C11,,HY-14865,10mM  * 10uL,Omadacycline
D11,,HY-B0556,10mM  * 10uL,Tetrahydrozoline
E11,,HY-B0292A,10mM  * 10uL,Atracurium (besylate)
F11,,HY-11100,10mM  * 10uL,Asenapine (maleate)
G11,,HY-B0457,10mM  * 10uL,Clomipramine (hydrochloride)
H11,,HY-17465,10mM  * 10uL,Glycopyrrolate
A12,,HY-W016715,10mM  * 10uL,L-Cysteine (hydrochloride hydrate)
B12,,HY-A0036,10mM  * 10uL,Bazedoxifene (acetate)
C12,,HY-N0733,10mM  * 10uL,Glucosamine (hydrochloride)
D12,,HY-17443B,10mM  * 10uL,Sivelestat (sodium tetrahydrate)
E12,,HY-104010A,10mM  * 10uL,Asciminib (hydrochloride)
F12,,HY-13624A,10mM  * 10uL,Epirubicin (hydrochloride)
G12,,HY-N2064,10mM  * 10uL,Racanisodamine
H12,,HY-15122A,10mM  * 10uL,Sinomenine hydrochloride
