well,strain,drug,conc,name
A01,,DMSO,0.5%,DMSO
B01,,DMSO,0.5%,DMSO
C01,,DMSO,0.5%,DMSO
D01,,DMSO,0.5%,DMSO
E01,,DMSO,0.5%,DMSO
F01,,DMSO,0.5%,DMSO
G01,,DMSO,0.5%,DMSO
H01,,DMSO,0.5%,DMSO
A02,,HY-B1016,10mM  * 10uL,Trapidil
B02,,HY-10221,10mM  * 10uL,Vorinostat
C02,,HY-B1074,10mM  * 10uL,Ethamsylate
D02,,HY-B0023,10mM  * 10uL,Azelnidipine
E02,,HY-10181B,10mM  * 10uL,Dasatinib (monohydrate)
F02,,HY-13038B,10mM  * 10uL,Fostamatinib (disodium hexahydrate)
G02,,HY-B0175,10mM  * 10uL,Toltrazuril
H02,,HY-13243,10mM  * 10uL,Alvimopan
A03,,HY-B0370,10mM  * 10uL,Tolnaftate
B03,,HY-10457A,10mM  * 10uL,Velusetrag (hydrochloride)
C03,,HY-N0180,10mM  * 10uL,18?-Glycyrrhetinic acid
D03,,HY-17359,10mM  * 10uL,Deferasirox
E03,,HY-B0317,10mM  * 10uL,Amlodipine
F03,,HY-14799,10mM  * 10uL,Palovarotene
G03,,HY-B1490A,10mM  * 10uL,Imipramine
H03,,HY-B0518A,10mM  * 10uL,Naftifine (hydrochloride)
A04,,HY-B0313,10mM  * 10uL,Hydroxyurea
B04,,HY-12100,10mM  * 10uL,Umeclidinium (bromide)
C04,,HY-A0095A,10mM  * 10uL,Flibanserin (hydrochloride) (propan-2-ol) (hydrate)
D04,,HY-B0226,10mM  * 10uL,Nitrofurazone
E04,,HY-B0381B,10mM  * 10uL,Levobetaxolol (hydrochloride)
F04,,HY-B1429,10mM  * 10uL,Chlorpropamide
G04,,HY-13929,10mM  * 10uL,Isocarboxazid
H04,,HY-N0750,10mM  * 10uL,Monocrotaline
A05,,HY-112823A,10mM  * 10uL,Almonertinib (mesylate)
B05,,HY-B0152B,10mM  * 10uL,Adenine (hemisulfate)
C05,,HY-B1923,10mM  * 10uL,Piperacillin
D05,,HY-B0425,10mM  * 10uL,Novobiocin
E05,,HY-70053A,10mM  * 10uL,Fesoterodine (L-mandelate)
F05,,HY-17468,10mM  * 10uL,Bumetanide
G05,,HY-13578,10mM  * 10uL,Brivudine
H05,,HY-B0811,10mM  * 10uL,Salicylamide
A06,,HY-U00089,10mM  * 10uL,Hydrocortisone cypionate
B06,,HY-B1418,10mM  * 10uL,Tazobactam
C06,,HY-B0724A,10mM  * 10uL,Pazufloxacin (mesylate)
D06,,HY-B0535,10mM  * 10uL,Ethambutol
E06,,HY-15414A,10mM  * 10uL,Vortioxetine (hydrobromide)
F06,,HY-17600,10mM  * 10uL,Acalabrutinib
G06,,HY-109037,10mM  * 10uL,Mavacamten
H06,,HY-B1908,10mM  * 10uL,Midecamycin
A07,,HY-B1262,10mM  * 10uL,Acetophenazine (dimaleate)
B07,,HY-19696A,10mM  * 10uL,Tauroursodeoxycholate (sodium)
C07,,HY-B2078A,10mM  * 10uL,Eprazinone (dihydrochloride)
D07,,HY-B0242,10mM  * 10uL,Sulfanilamide
E07,,HY-17422,10mM  * 10uL,Acyclovir
F07,,HY-102003,10mM  * 10uL,Rucaparib (monocamsylate)
G07,,HY-B1196,10mM  * 10uL,Tiapride (hydrochloride)
H07,,HY-B2184,10mM  * 10uL,Sofalcone
A08,,HY-B1505,10mM  * 10uL,Acefylline
B08,,HY-B0672,10mM  * 10uL,Estradiol valerate
C08,,HY-100795A,10mM  * 10uL,Pirmenol (hydrochloride)
D08,,HY-B0091,10mM  * 10uL,Adapalene
E08,,HY-B1050,10mM  * 10uL,Gemifloxacin (mesylate)
F08,,HY-A0066A,10mM  * 10uL,Tolazoline (hydrochloride)
G08,,HY-17387,10mM  * 10uL,(-)-Huperzine A
H08,,HY-B1744,10mM  * 10uL,Pyridoxal phosphate
A09,,HY-17038,10mM  * 10uL,Agomelatine
