well,strain,drug,conc,name
B09,,HY-B1365,10mM  * 10uL,Prednicarbate
C09,,HY-B1381,10mM  * 10uL,Cefixime
D09,,HY-B0243,10mM  * 10uL,Meprednisone
E09,,HY-A0191,10mM  * 10uL,Dexbrompheniramine
F09,,HY-A0002,10mM  * 10uL,Solifenacin (Succinate)
G09,,HY-16952A,10mM  * 10uL,Bepridil (hydrochloride hydrate)
H09,,HY-17000,10mM  * 10uL,Tolvaptan
A10,,HY-B0744D,10mM  * 10uL,L-Eflornithine (monohydrochloride)
B10,,HY-77036,10mM  * 10uL,Furagin
C10,,HY-B0161A,10mM  * 10uL,Duloxetine (hydrochloride)
D10,,HY-A0144,10mM  * 10uL,Etilefrine
E10,,HY-B1080A,10mM  * 10uL,Tilorone
F10,,HY-18341A,10mM  * 10uL,L-Thyroxine (sodium salt pentahydrate)
G10,,HY-N2079,10mM  * 10uL,(-)-Securinine
H10,,HY-B0144A,10mM  * 10uL,Pitavastatin
A11,,HY-14275,10mM  * 10uL,Verapamil
B11,,HY-A0122,10mM  * 10uL,Plicamycin
C11,,HY-10181,10mM  * 10uL,Dasatinib
D11,,HY-B0426A,10mM  * 10uL,Olopatadine (hydrochloride)
E11,,HY-12432,10mM  * 10uL,Gilteritinib
F11,,HY-B0308,10mM  * 10uL,Sparfloxacin
G11,,HY-P0205B,10mM  * 10uL,Saralasin (TFA)
H11,,HY-14289,10mM  * 10uL,Cimetidine
A12,,HY-17395A,10mM  * 10uL,Terbinafine
B12,,HY-17474,10mM  * 10uL,Parecoxib
C12,,HY-107793,10mM  * 10uL,Picosulfate (sodium salt hydrate)
D12,,HY-B0098A,10mM  * 10uL,Doxazosin (mesylate)
E12,,HY-17595,10mM  * 10uL,Mebendazole
F12,,HY-113293A,10mM  * 10uL,Estrone sulfate (potassium)
G12,,HY-B1021,10mM  * 10uL,Vincamine
H12,,HY-B1005,10mM  * 10uL,8-Hydroxyquinoline
