well,strain,drug,conc,name
A01,,DMSO,0.5%,DMSO
B01,,DMSO,0.5%,DMSO
C01,,DMSO,0.5%,DMSO
D01,,DMSO,0.5%,DMSO
E01,,DMSO,0.5%,DMSO
F01,,DMSO,0.5%,DMSO
G01,,DMSO,0.5%,DMSO
H01,,DMSO,0.5%,DMSO
A02,,HY-114277,10mM  * 10uL,Sotorasib
B02,,HY-B0157,10mM  * 10uL,Ketotifen
C02,,HY-13502,10mM  * 10uL,Mitoxantrone
D02,,HY-B0322,10mM  * 10uL,Sulfamethoxazole
E02,,HY-13318,10mM  * 10uL,Oseltamivir acid
F02,,HY-12005,10mM  * 10uL,Fingolimod (hydrochloride)
G02,,HY-B0371B,10mM  * 10uL,(R)-Terazosin
H02,,HY-B2136,10mM  * 10uL,Tannic acid
A03,,HY-B0601,10mM  * 10uL,Tafluprost acid
B03,,HY-14657,10mM  * 10uL,Dantrolene (sodium)
C03,,HY-123047,10mM  * 10uL,Tibolone
D03,,HY-13004,10mM  * 10uL,Maraviroc
E03,,HY-B1374,10mM  * 10uL,Florfenicol
F03,,HY-B1014,10mM  * 10uL,Acenocoumarol
G03,,HY-B0894,10mM  * 10uL,Resorcinol monoacetate
H03,,HY-17407,10mM  * 10uL,Ziprasidone (hydrochloride monohydrate)
A04,,HY-10209,10mM  * 10uL,Masitinib
B04,,HY-W017113,10mM  * 10uL,2-Mercaptobenzothiazole
C04,,HY-Y0258A,10mM  * 10uL,Benzocaine (hydrochloride)
D04,,HY-B0220,10mM  * 10uL,Erythromycin
E04,,HY-B0146,10mM  * 10uL,Verteporfin
F04,,HY-B1924,10mM  * 10uL,Norvancomycin (monohydrochloride)
G04,,HY-15315A,10mM  * 10uL,Baricitinib (phosphate)
H04,,HY-B0804,10mM  * 10uL,Nadolol
A05,,HY-13910,10mM  * 10uL,Tenofovir
B05,,HY-B0196A,10mM  * 10uL,Venlafaxine (hydrochloride)
C05,,HY-17470,10mM  * 10uL,Mizoribine
D05,,HY-18085,10mM  * 10uL,Quercetin
E05,,HY-B0380A,10mM  * 10uL,Trimebutine (maleate)
F05,,HY-B0140,10mM  * 10uL,Aminophylline
G05,,HY-B0471,10mM  * 10uL,Phenylephrine (hydrochloride)
H05,,HY-106443A,10mM  * 10uL,Arimoclomol (maleate)
A06,,HY-N0176,10mM  * 10uL,Dihydroartemisinin
B06,,HY-B0801A,10mM  * 10uL,Fexofenadine (hydrochloride)
C06,,HY-76200,10mM  * 10uL,Voriconazole
D06,,HY-18767,10mM  * 10uL,Ivosidenib
E06,,HY-B0192A,10mM  * 10uL,Alfuzosin (hydrochloride)
F06,,HY-B1378,10mM  * 10uL,Ethosuximide
G06,,HY-B1175,10mM  * 10uL,"(2S,5R,6R)-Ticarcillin (disodium)"
H06,,HY-Y1311,10mM  * 10uL,Malic acid
A07,,HY-B1391,10mM  * 10uL,D-Panthenol
B07,,HY-N0122,10mM  * 10uL,5-Hydroxytryptophan
C07,,HY-70057,10mM  * 10uL,Safinamide
D07,,HY-17453,10mM  * 10uL,Salmeterol (xinafoate)
E07,,HY-14538,10mM  * 10uL,Haloperidol
F07,,HY-107431,10mM  * 10uL,Diphenylpyraline
G07,,HY-B0147A,10mM  * 10uL,Pefloxacin (mesylate)
H07,,HY-N0709,10mM  * 10uL,Coumarin
A08,,HY-14543,10mM  * 10uL,Sertindole
B08,,HY-B0574,10mM  * 10uL,Mefenamic acid
C08,,HY-76251,10mM  * 10uL,Etodolac
D08,,HY-B0688,10mM  * 10uL,Dapsone
E08,,HY-19870,10mM  * 10uL,Setmelanotide
F08,,HY-10586,10mM  * 10uL,5-Azacytidine
G08,,HY-109013,10mM  * 10uL,Sofpironium (bromide)
H08,,HY-A0166,10mM  * 10uL,Cilastatin
A09,,HY-B0519A,10mM  * 10uL,Tylosin
B09,,HY-N7121,10mM  * 10uL,Erythromycin estolate
C09,,HY-17428,10mM  * 10uL,Tripelennamine (hydrochloride)
