well,strain,drug,conc,name
D09,,HY-10984,10mM  * 10uL,Pomalidomide
E09,,HY-B0319,10mM  * 10uL,Tioconazole
F09,,HY-12515A,10mM  * 10uL,Nicardipine (hydrochloride)
G09,,HY-B0932,10mM  * 10uL,Levocarnitine propionate (hydrochloride)
H09,,HY-13001,10mM  * 10uL,Quizartinib
A10,,HY-17358,10mM  * 10uL,Loteprednol Etabonate
B10,,HY-W004546,10mM  * 10uL,Abametapir
C10,,HY-90001,10mM  * 10uL,Ritonavir
D10,,HY-B0152A,10mM  * 10uL,Adenine (hydrochloride)
E10,,HY-B1125,10mM  * 10uL,Glucosamine
F10,,HY-17034B,10mM  * 10uL,Medetomidine (hydrochloride)
G10,,HY-14737A,10mM  * 10uL,Ceftaroline fosamil (hydrate)
H10,,HY-16779,10mM  * 10uL,Fosravuconazole
A11,,HY-B0660,10mM  * 10uL,Eicosapentaenoic Acid
B11,,HY-B0219,10mM  * 10uL,Allopurinol
C11,,HY-107917,10mM  * 10uL,Desoxycorticosterone pivalate
D11,,HY-135336,10mM  * 10uL,(R)-Verapamil (hydrochloride)
E11,,HY-10238,10mM  * 10uL,Danoprevir
F11,,HY-12651A,10mM  * 10uL,Primaquine
G11,,HY-B0539,10mM  * 10uL,Desloratadine
H11,,HY-17037A,10mM  * 10uL,Pirenzepine
A12,,HY-B1345,10mM  * 10uL,Piroctone olamine
B12,,HY-100386,10mM  * 10uL,Ticlopidine
C12,,HY-121685A,10mM  * 10uL,Tipepidine (hydrochloride)
D12,,HY-N0684,10mM  * 10uL,Vitamin K1
E12,,HY-N0175,10mM  * 10uL,Cytisinicline
F12,,HY-B1798A,10mM  * 10uL,Tocainide (hydrochloride)
G12,,HY-N0420,10mM  * 10uL,Succinic acid
H12,,HY-19696B,10mM  * 10uL,Tauroursodeoxycholate (dihydrate)
