well,strain,drug,conc,name
E09,,HY-B0448,10mM  * 10uL,Phenytoin
F09,,HY-B0138,10mM  * 10uL,Ketorolac (tromethamine salt)
G09,,HY-145574,10mM  * 10uL,Iruplinalkib
H09,,HY-12866A,10mM  * 10uL,Larotrectinib sulfate
A10,,HY-12222,10mM  * 10uL,Obeticholic acid
B10,,HY-B0640,10mM  * 10uL,Epinastine
C10,,HY-B0113,10mM  * 10uL,Omeprazole
D10,,HY-12687,10mM  * 10uL,Tizoxanide
E10,,HY-B0774,10mM  * 10uL,Seratrodast
F10,,HY-108402A,10mM  * 10uL,Cefodizime (sodium)
G10,,HY-19569,10mM  * 10uL,Upadacitinib
H10,,HY-A0251,10mM  * 10uL,Cefpodoxime
A11,,HY-B0822,10mM  * 10uL,Fipronil
B11,,HY-121276,10mM  * 10uL,Benperidol
C11,,HY-A0248B,10mM  * 10uL,Polymyxin B2
D11,,HY-111406,10mM  * 10uL,Omidenepag isopropyl
E11,,HY-10004,10mM  * 10uL,Faropenem daloxate
F11,,HY-18540,10mM  * 10uL,KT109
G11,,HY-B0552A,10mM  * 10uL,Dibucaine (hydrochloride)
H11,,HY-B1729,10mM  * 10uL,Phenoxyethanol
A12,,HY-N1919,10mM  * 10uL,Ajmalicine
B12,,HY-B1802A,10mM  * 10uL,Tosufloxacin (tosylate hydrate)
C12,,HY-B0132,10mM  * 10uL,Norfloxacin
D12,,HY-10572,10mM  * 10uL,Efavirenz
E12,,HY-14290,10mM  * 10uL,Pinacidil
F12,,HY-B0406A,10mM  * 10uL,Bethanechol (chloride)
G12,,HY-14544,10mM  * 10uL,Quetiapine
H12,,HY-B0259,10mM  * 10uL,Indapamide
