well,strain,drug,conc,name
A01,,DMSO,0.5%,DMSO
B01,,DMSO,0.5%,DMSO
C01,,DMSO,0.5%,DMSO
D01,,DMSO,0.5%,DMSO
E01,,DMSO,0.5%,DMSO
F01,,DMSO,0.5%,DMSO
G01,,DMSO,0.5%,DMSO
H01,,DMSO,0.5%,DMSO
A02,,HY-13782A,10mM  * 10uL,Tenofovir Disoproxil
B02,,HY-109106A,10mM  * 10uL,Upacicalcet (sodium)
C02,,HY-N0158,10mM  * 10uL,Oxymatrine
D02,,HY-15036,10mM  * 10uL,Diclofenac
E02,,HY-103399,10mM  * 10uL,Trovafloxacin (mesylate)
F02,,HY-N0865,10mM  * 10uL,Ingenol
G02,,HY-10255,10mM  * 10uL,Sunitinib (Malate)
H02,,HY-15851,10mM  * 10uL,Revefenacin
A03,,HY-N1380,10mM  * 10uL,Guaiacol
B03,,HY-15959,10mM  * 10uL,Savolitinib
C03,,HY-N0264,10mM  * 10uL,Ligustrazine
D03,,HY-18716,10mM  * 10uL,Dextrorotation nimorazole phosphate ester
E03,,HY-N0276,10mM  * 10uL,Flaconitine
F03,,HY-19696,10mM  * 10uL,Tauroursodeoxycholate
G03,,HY-N0862,10mM  * 10uL,Harringtonine
H03,,HY-76847,10mM  * 10uL,Chenodeoxycholic Acid
A04,,HY-122272,10mM  * 10uL,Paroxetine
B04,,HY-B0185,10mM  * 10uL,Lidocaine
C04,,HY-B0330A,10mM  * 10uL,Levofloxacin (hydrate)
D04,,HY-12717A,10mM  * 10uL,Phentolamine (hydrochloride)
E04,,HY-B0198,10mM  * 10uL,Cefaclor
F04,,HY-B0625,10mM  * 10uL,Ciclesonide
G04,,HY-B1201,10mM  * 10uL,Tiratricol
H04,,HY-W013075,10mM  * 10uL,Rutin (trihydrate)
A05,,HY-Y0335,10mM  * 10uL,"1,3-Dihydroxyacetone"
B05,,HY-13413,10mM  * 10uL,Tofogliflozin (hydrate)
C05,,HY-A0154,10mM  * 10uL,Deslanoside
D05,,HY-17643,10mM  * 10uL,Oteseconazole
E05,,HY-B0207A,10mM  * 10uL,Pyridostigmine (bromide)
F05,,HY-B0600,10mM  * 10uL,Tafluprost
G05,,HY-15233,10mM  * 10uL,Letermovir
H05,,HY-B0586,10mM  * 10uL,Methylcobalamin
A06,,HY-B0623A,10mM  * 10uL,Ropinirole (hydrochloride)
B06,,HY-B1496,10mM  * 10uL,Tranylcypromine (hemisulfate)
C06,,HY-A0083,10mM  * 10uL,Methacholine (chloride)
D06,,HY-15407A,10mM  * 10uL,Sacubitril hemicalcium salt
E06,,HY-B1700A,10mM  * 10uL,Mivacurium (dichloride)
F06,,HY-B0679,10mM  * 10uL,Lubiprostone
G06,,HY-B0211A,10mM  * 10uL,Riluzole hydrochloride
H06,,HY-A0124A,10mM  * 10uL,Sapropterin (dihydrochloride)
A07,,HY-14928A,10mM  * 10uL,Lobeglitazone (sulfate)
B07,,HY-B0401,10mM  * 10uL,Tolbutamide
C07,,HY-N0447,10mM  * 10uL,8-Gingerol
D07,,HY-14654,10mM  * 10uL,Aspirin
E07,,HY-B0174,10mM  * 10uL,Olsalazine (Disodium)
F07,,HY-B1240,10mM  * 10uL,Droperidol
G07,,HY-120081A,10mM  * 10uL,Metixene (hydrochloride hydrate)
H07,,HY-B0180B,10mM  * 10uL,Imiquimod (maleate)
A08,,HY-17004,10mM  * 10uL,Olmesartan
B08,,HY-114899,10mM  * 10uL,Azamethiphos
C08,,HY-B0322A,10mM  * 10uL,Sulfamethoxazole (sodium)
D08,,HY-15431,10mM  * 10uL,Capivasertib
E08,,HY-14397A,10mM  * 10uL,Indomethacin (sodium hydrate)
F08,,HY-B0461,10mM  * 10uL,Trospium (chloride)
G08,,HY-14545,10mM  * 10uL,Amisulpride
H08,,HY-B0612,10mM  * 10uL,Lercanidipine
A09,,HY-B0435,10mM  * 10uL,Roxithromycin
B09,,HY-B0168A,10mM  * 10uL,Milnacipran (hydrochloride)
