well,strain,drug,conc,name
C09,,HY-B0689,10mM  * 10uL,Indinavir
D09,,HY-101405,10mM  * 10uL,Gestrinone
E09,,HY-13064,10mM  * 10uL,Cobimetinib
F09,,HY-15771,10mM  * 10uL,Tirabrutinib
G09,,HY-B1655,10mM  * 10uL,Fluspirilene
H09,,HY-N0282,10mM  * 10uL,Demecolcine
A10,,HY-112823,10mM  * 10uL,Almonertinib
B10,,HY-B0935,10mM  * 10uL,Benzyl benzoate
C10,,HY-B0946,10mM  * 10uL,Sulfamonomethoxine
D10,,HY-B1472,10mM  * 10uL,Deoxycorticosterone acetate
E10,,HY-13234,10mM  * 10uL,Rifaximin
F10,,HY-N0184A,10mM  * 10uL,Dipotassium glycyrrhizinate
G10,,HY-14600,10mM  * 10uL,Rosiglitazone (maleate)
H10,,HY-107831,10mM  * 10uL,5-Acetylsalicylic acid
A11,,HY-17504B,10mM  * 10uL,Rosuvastatin (Sodium)
B11,,HY-N0593,10mM  * 10uL,Deoxycholic acid
C11,,HY-B0261,10mM  * 10uL,Meloxicam
D11,,HY-B0267,10mM  * 10uL,Oxybutynin
E11,,HY-B1347,10mM  * 10uL,Clorprenaline hydrochloride
F11,,HY-B1030,10mM  * 10uL,Lanatoside C
G11,,HY-B0227,10mM  * 10uL,Ketoprofen
H11,,HY-10195B,10mM  * 10uL,Ruboxistaurin (hydrochloride)
A12,,HY-N6810,10mM  * 10uL,Thymol
B12,,HY-14814,10mM  * 10uL,Delafloxacin
C12,,HY-B2070,10mM  * 10uL,Methylbenactyzium Bromide
D12,,HY-B0195,10mM  * 10uL,Tranilast
E12,,HY-10844,10mM  * 10uL,Pretomanid
F12,,HY-14299,10mM  * 10uL,Indacaterol
G12,,HY-B1200,10mM  * 10uL,Pralidoxime (chloride)
H12,,HY-15656,10mM  * 10uL,Ceritinib
