well,strain,drug,conc,name
E09,,HY-B0740,10mM  * 10uL,Cyclobenzaprine (hydrochloride)
F09,,HY-B1089,10mM  * 10uL,Ethynodiol diacetate
G09,,HY-B2174,10mM  * 10uL,Ethacridine (lactate)
H09,,HY-109044,10mM  * 10uL,Tapinarof
A10,,HY-17492,10mM  * 10uL,Zafirlukast
B10,,HY-B1400,10mM  * 10uL,Diiodohydroxyquinoline
C10,,HY-B0797,10mM  * 10uL,Etretinate
D10,,HY-17392,10mM  * 10uL,Zalcitabine
E10,,HY-18715,10mM  * 10uL,Ornidazole (Levo-)
F10,,HY-15005,10mM  * 10uL,Sofosbuvir
G10,,HY-119515,10mM  * 10uL,Denopamine
H10,,HY-13448,10mM  * 10uL,Nedocromil
A11,,HY-B0231,10mM  * 10uL,Enalaprilat (dihydrate)
B11,,HY-123593,10mM  * 10uL,Mozavaptan (hydrochloride)
C11,,HY-B1465,10mM  * 10uL,1-Hexadecanol
D11,,HY-B0398,10mM  * 10uL,Nalidixic acid
E11,,HY-18763,10mM  * 10uL,Indobufen
F11,,HY-B0221,10mM  * 10uL,Amphotericin B
G11,,HY-16737,10mM  * 10uL,Elafibranor
H11,,HY-14164A,10mM  * 10uL,Zileuton (sodium)
A12,,HY-B0343A,10mM  * 10uL,Sarafloxacin (hydrochloride)
B12,,HY-B1895,10mM  * 10uL,Levodropropizine
C12,,HY-112870,10mM  * 10uL,Firmonertinib
D12,,HY-14771A,10mM  * 10uL,Imeglimin (hydrochloride)
E12,,HY-111529A,10mM  * 10uL,Tafenoquine (Succinate)
F12,,HY-13038A,10mM  * 10uL,Fostamatinib
G12,,HY-19518,10mM  * 10uL,Latanoprostene bunod
H12,,HY-14721,10mM  * 10uL,Tepotinib
