well,strain,drug,conc,name
A01,,DMSO,0.5%,DMSO
B01,,DMSO,0.5%,DMSO
C01,,DMSO,0.5%,DMSO
D01,,DMSO,0.5%,DMSO
E01,,DMSO,0.5%,DMSO
F01,,DMSO,0.5%,DMSO
G01,,DMSO,0.5%,DMSO
H01,,DMSO,0.5%,DMSO
A02,,HY-B0736A,10mM  * 10uL,Sertaconazole (nitrate)
B02,,HY-15895,10mM  * 10uL,Aprocitentan
C02,,HY-N0880,10mM  * 10uL,Cinobufotalin
D02,,HY-B1302,10mM  * 10uL,Quinidine hydrochloride monohydrate
E02,,HY-B0882,10mM  * 10uL,Edrophonium (chloride)
F02,,HY-14820A,10mM  * 10uL,Macimorelin (acetate)
G02,,HY-B0161,10mM  * 10uL,Duloxetine
H02,,HY-A0023,10mM  * 10uL,Alogliptin (Benzoate)
A03,,HY-121383,10mM  * 10uL,Labetalol
B03,,HY-14546,10mM  * 10uL,Aripiprazole
C03,,HY-W013172,10mM  * 10uL,Norgestimate
D03,,HY-B0589,10mM  * 10uL,Atorvastatin
E03,,HY-17367,10mM  * 10uL,Atazanavir
F03,,HY-B0732,10mM  * 10uL,Itopride (hydrochloride)
G03,,HY-14655,10mM  * 10uL,Sulfasalazine
H03,,HY-B0577,10mM  * 10uL,Latanoprost
A04,,HY-138687,10mM  * 10uL,Nirmatrelvir
B04,,HY-B0499A,10mM  * 10uL,Otilonium (bromide)
C04,,HY-B1078,10mM  * 10uL,Cefazolin (sodium)
D04,,HY-12961A,10mM  * 10uL,Bretylium (tosylate)
E04,,HY-113756A,10mM  * 10uL,Latanoprost acid
F04,,HY-B1460,10mM  * 10uL,Sulconazole (mononitrate)
G04,,HY-B0410,10mM  * 10uL,Pramipexole
H04,,HY-B0516,10mM  * 10uL,Articaine (hydrochloride)
A05,,HY-B1286,10mM  * 10uL,Piperacillin (sodium)
B05,,HY-116564,10mM  * 10uL,Lotilaner
C05,,HY-B1287,10mM  * 10uL,Citalopram (hydrobromide)
D05,,HY-76260,10mM  * 10uL,Faropenem sodium
E05,,HY-15297,10mM  * 10uL,Vesnarinone
F05,,HY-B0478,10mM  * 10uL,Trazodone (hydrochloride)
G05,,HY-15685,10mM  * 10uL,Ripasudil
H05,,HY-B0507,10mM  * 10uL,Sulfathiazole
A06,,HY-B1324,10mM  * 10uL,Oxiconazole nitrate
B06,,HY-B1110,10mM  * 10uL,Nomifensine
C06,,HY-B1281,10mM  * 10uL,Mepyramine maleate
D06,,HY-B0116,10mM  * 10uL,Stavudine
E06,,HY-B0908,10mM  * 10uL,Meticrane
F06,,HY-14885,10mM  * 10uL,Eliglustat
G06,,HY-B0529A,10mM  * 10uL,Azlocillin (sodium salt)
H06,,HY-111613,10mM  * 10uL,Pinaverium bromide
A07,,HY-17605A,10mM  * 10uL,Bictegravir (sodium)
B07,,HY-17404,10mM  * 10uL,Cilnidipine
C07,,HY-I0960,10mM  * 10uL,Uracil
D07,,HY-B0337,10mM  * 10uL,Sulfadimethoxine
E07,,HY-B0557,10mM  * 10uL,Bisacodyl
F07,,HY-B0167,10mM  * 10uL,Salicylic acid
G07,,HY-B0191,10mM  * 10uL,Bimatoprost
H07,,HY-15258A,10mM  * 10uL,Lesinurad (sodium)
A08,,HY-13219,10mM  * 10uL,Tepoxalin
B08,,HY-B0641,10mM  * 10uL,Felbinac
C08,,HY-14284,10mM  * 10uL,Nilvadipine
D08,,HY-16973,10mM  * 10uL,Fluralaner
E08,,HY-B0154,10mM  * 10uL,Fluticasone (propionate)
F08,,HY-70037A,10mM  * 10uL,Cinacalcet (hydrochloride)
G08,,HY-B2219,10mM  * 10uL,Stearic acid
H08,,HY-A0016,10mM  * 10uL,Dronedarone
A09,,HY-10224,10mM  * 10uL,Panobinostat
B09,,HY-B1604,10mM  * 10uL,Chloroprocaine (hydrochloride)
C09,,HY-B0726A,10mM  * 10uL,Pilocarpine
D09,,HY-A0195,10mM  * 10uL,Carboprost (tromethamine)
